Rettungspunkt,Longitude,Latitude,Koordinaten,Schnellestes Fahrzeug,Anfahrtszeit,Nächstes Fahrzeug,Anfahrtsdistanz,Ankunft innerhalb 5min,Zeit_HM 81/1,Zeit_PA 84/1,Zeit_WK 81/1,Zeit_WK 84/1,Zeit_Fi 81/1,Zeit_Mifi 84/1,Zeit_Mifi 81/1 W,Zeit_Schöf 81/1,Zeit_Gr 81/1,Entf_HM 81/1,Entf_PA 84/1,Entf_WK 81/1,Entf_WK 84/1,Entf_Fi 81/1,Entf_Mifi 84/1,Entf_Mifi 81/1 W,Entf_Schöf 81/1,Entf_Gr 81/1
Kohlstatt - Eppenschlag, 13.303359255380757,48.91203210655861," 13.303359255380757,48.91203210655861",Schöf 81/1,18:21 min,Gr 81/1,14.3 km,"Gr 81/1, Schöf 81/1",59:19 min,56:59 min,62:03 min,59:26 min,45:10 min,44:02 min,44:02 min,18:21 min,18:58 min,49.7 km,50.0 km,51.9 km,54.1 km,35.0 km,36.4 km,36.4 km,18.1 km,14.3 km
Kraftmühle - Eppenschlag, 13.283032149365358,48.90907945468663," 13.283032149365358,48.90907945468663",Schöf 81/1,18:59 min,Gr 81/1,17.1 km,"Gr 81/1, Schöf 81/1",60:04 min,57:36 min,62:41 min,60:04 min,48:02 min,46:54 min,46:54 min,18:59 min,21:50 min,54.4 km,50.5 km,52.4 km,54.6 km,37.8 km,39.2 km,39.2 km,18.6 km,17.1 km
Marbach - Eppenschlag, 13.294010365297895,48.8985097039744," 13.294010365297895,48.8985097039744",Schöf 81/1,15:59 min,Gr 81/1,15.6 km,"Gr 81/1, Schöf 81/1",57:04 min,54:36 min,59:41 min,57:04 min,44:49 min,43:41 min,43:41 min,15:59 min,18:36 min,53.0 km,49.0 km,50.9 km,53.1 km,36.3 km,37.7 km,37.7 km,17.1 km,15.6 km
Rametnach - Eppenschlag, 13.31357523249042,48.889809611329426," 13.31357523249042,48.889809611329426",Schöf 81/1,16:07 min,Gr 81/1,14.6 km,"Gr 81/1, Schöf 81/1",57:12 min,54:44 min,59:49 min,57:12 min,43:34 min,42:27 min,42:27 min,16:07 min,17:22 min,53.2 km,49.2 km,51.1 km,53.3 km,35.3 km,36.7 km,36.7 km,17.3 km,14.6 km
Raumreuth - Eppenschlag, 13.292202555505774,48.91551664382054," 13.292202555505774,48.91551664382054",Gr 81/1,19:01 min,Gr 81/1,14.6 km,"Gr 81/1, Schöf 81/1",59:22 min,58:21 min,63:26 min,60:49 min,45:14 min,44:06 min,44:06 min,19:44 min,19:01 min,49.9 km,50.9 km,52.8 km,55.0 km,35.2 km,36.6 km,36.6 km,19.0 km,14.6 km
Reinhardsschlag - Eppenschlag, 13.30605,48.92156," 13.30605,48.92156",Gr 81/1,16:12 min,Gr 81/1,12.9 km,"Gr 81/1, Schöf 81/1",56:33 min,59:44 min,63:07 min,62:11 min,42:25 min,41:17 min,41:17 min,21:04 min,16:12 min,48.3 km,51.5 km,50.4 km,55.5 km,33.5 km,35.0 km,35.0 km,17.1 km,12.9 km
Rottenberg - Eppenschlag, 13.31108,48.91147," 13.31108,48.91147",Gr 81/1,19:19 min,Gr 81/1,14.0 km,"Gr 81/1, Schöf 81/1",59:39 min,58:45 min,63:49 min,61:12 min,45:31 min,44:23 min,44:23 min,20:07 min,19:19 min,49.4 km,51.7 km,53.6 km,55.8 km,34.6 km,36.1 km,36.1 km,19.8 km,14.0 km
Sommerau - Eppenschlag, 13.305629128208839,48.895978611942546," 13.305629128208839,48.895978611942546",Schöf 81/1,14:32 min,Gr 81/1,15.1 km,"Gr 81/1, Schöf 81/1",55:37 min,53:10 min,58:14 min,55:37 min,43:13 min,42:05 min,42:05 min,14:32 min,17:01 min,51.8 km,47.9 km,49.8 km,52.0 km,35.7 km,37.1 km,37.1 km,15.9 km,15.1 km
Steinberg - Eppenschlag, 13.31290,48.89202," 13.31290,48.89202",Schöf 81/1,15:27 min,Gr 81/1,14.3 km,"Gr 81/1, Schöf 81/1",56:32 min,54:05 min,59:09 min,56:32 min,42:55 min,41:47 min,41:47 min,15:27 min,16:43 min,52.9 km,49.0 km,50.9 km,53.0 km,35.0 km,36.4 km,36.4 km,17.0 km,14.3 km
Waldeck - Eppenschlag, 13.32060,48.90994," 13.32060,48.90994",Gr 81/1,14:21 min,Gr 81/1,11.7 km,"Gr 81/1, Schöf 81/1",54:41 min,55:09 min,60:13 min,57:36 min,40:33 min,39:25 min,39:25 min,16:31 min,14:21 min,47.1 km,51.1 km,52.9 km,55.1 km,32.4 km,33.8 km,33.8 km,19.1 km,11.7 km
Wolfertschlag - Eppenschlag, 13.318233303112459,48.90268982929183," 13.318233303112459,48.90268982929183",Gr 81/1,15:47 min,Gr 81/1,12.7 km,"Gr 81/1, Schöf 81/1",56:08 min,55:14 min,60:18 min,57:41 min,42:00 min,40:52 min,40:52 min,16:36 min,15:47 min,48.1 km,50.5 km,52.3 km,54.5 km,33.4 km,34.8 km,34.8 km,18.5 km,12.7 km
Ahornöd - Freyung Niederbay, 13.534329949589038,48.821336217214004," 13.534329949589038,48.821336217214004",Mifi 84/1,20:01 min,Gr 81/1,16.6 km,"Fi 81/1, Gr 81/1, HM 81/1, Mifi 84/1, Mifi 84/1",24:55 min,39:46 min,31:29 min,32:43 min,24:21 min,20:01 min,20:01 min,38:53 min,21:05 min,19.7 km,38.3 km,21.8 km,31.2 km,16.6 km,20.1 km,20.1 km,34.9 km,16.6 km
Aigenstadl - Freyung Niederbay, 13.499927715293959,48.805898410707854," 13.499927715293959,48.805898410707854",Gr 81/1,19:23 min,Gr 81/1,15.4 km,"Gr 81/1, Mifi 84/1, Mifi 84/1",25:15 min,35:20 min,29:44 min,28:17 min,26:01 min,21:05 min,21:05 min,37:40 min,19:23 min,22.0 km,34.2 km,25.4 km,27.2 km,20.8 km,24.0 km,24.0 km,34.0 km,15.4 km
