ILS,LANDKREIS,GEMEINDE,ORTSTEIL,lat,lon,Örtlich zust. Bergwacht,Einsatzleitbereich,,,Örtl. zust Bereitschaft:,Einsatzleitbereich,
ILS Passau,Passau Land,Aidenbach Niederbay,Heft - Aidenbach Niederbay,48.56129, 13.07890,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aidenbach Niederbay,Hollerbach - Aidenbach Niederbay,48.55876, 13.09203,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aidenbach Niederbay,Köching - Aidenbach Niederbay,48.55135, 13.02720,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aidenbach Niederbay,Mandlmühle - Aidenbach Niederbay,48.55713, 13.07155,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aidenbach Niederbay,Mistlbach - Aidenbach Niederbay,48.55618, 13.04456,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aidenbach Niederbay,Penzing - Aidenbach Niederbay,48.56230, 13.06409,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aidenbach Niederbay,Rannerding - Aidenbach Niederbay,48.54354, 13.01655,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aidenbach Niederbay,Schöfbach - Aidenbach Niederbay,48.57014, 13.06524,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aidenbach Niederbay,Senging - Aidenbach Niederbay,48.55409, 13.03217,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aidenbach Niederbay,Steinpoint - Aidenbach Niederbay,48.54783, 13.01213,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aidenbach Niederbay,Stetten - Aidenbach Niederbay,48.54959, 13.03478,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aidenbach Niederbay,Waidthoma - Aidenbach Niederbay,48.54722, 13.01201,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aidenbach Niederbay,Weingarten - Aidenbach Niederbay,48.54829, 13.00812,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Adenberg - Aldersbach,48.58613, 13.12110,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Aldersbach - Aldersbach,48.58932, 13.08444,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Am Käserberg - Aldersbach,48.61648, 13.05200,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Ammerreuth - Aldersbach,48.61769, 13.05839,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Atzenberg - Aldersbach,48.58007, 13.05645,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Beiglöd - Aldersbach,48.62251, 13.09872,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Duschlöd - Aldersbach,48.62183, 13.10418,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Eck - Aldersbach,48.58269, 13.10827,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Edelsbrunn - Aldersbach,48.58448, 13.10150,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Eggerting - Aldersbach,48.57571, 13.02387,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Freundorf - Aldersbach,48.59078, 13.03674,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Gainstorf - Aldersbach,48.60821, 13.02670,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Galgenberg - Aldersbach,48.58313, 13.04159,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Grüneröd - Aldersbach,48.62442, 13.10395,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Gumperting - Aldersbach,48.57495, 13.07464,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Haag - Aldersbach,48.62166, 13.05924,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Haidach - Aldersbach,48.58696, 13.00851,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Haideck - Aldersbach,48.58408, 13.01401,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Haidenburg - Aldersbach,48.56804, 13.02446,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Harreröd - Aldersbach,48.62545, 13.09761,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Heinrichsdorf - Aldersbach,48.59020, 13.03063,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Hiendlöd - Aldersbach,48.61952, 13.08215,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Hinteröd - Aldersbach,48.55607, 13.01989,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Hirt - Aldersbach,48.61768, 13.08762,Passau / Haidmühle,Unterer Wald
ILS Passau,Passau Land,Aldersbach,Holzhausen - Aldersbach,48.58624, 12.98686,Passau / Haidmühle,Unterer Wald
